corpus,mode,tc,tt,contempt,games,a_wins,b_wins,rep_draws,timeouts,avg_plies,shuffle_rate,cycle4_rate,back_rate,progress_per_move,illegal
mid,nnue,time,persist,-30,120,49,53,12,6,51.07,0.00000,0.01305,0.12206,0.51713,0
empty,nnue,time,persist,-30,160,80,80,0,0,11.80,0.00000,0.00000,0.13400,0.73252,0
